#=================================================================
# DirecTV Comparisons
# Date: Jul 19 2019 - Jul 26 2019
# Segments: Network Name: Nat Geo - DirecTV
#=================================================================


##############################################
# Networks
##############################################
,Unique Visitors,Content Starts,Content Time Spent in Minutes,Video: Avg Time Spent in Minutes,Content Completes,Video Completion Rate
Network Name (v3),211159,740423,11336783.23333333,15.31122511501309,170510,0.2302872817294979
National Geographic,211159,740423,11336783.233333332,15.311225115013086,170510,0.23028728172949786


##############################################
# By Day
##############################################
,Unique Visitors,Content Starts,Content Time Spent in Minutes,Video: Avg Time Spent in Minutes,Content Completes,Video Completion Rate
Day,211159,740423,11336783.23333333,15.31122511501309,170510,0.2302872817294979
2019-07-19,45316,93519,1426302.55,15.251473497364172,21461,0.22948277890054428
2019-07-20,54098,121305,1991766.35,16.419490952557602,29227,0.24093813115700094
2019-07-21,69543,169365,2721843.65,16.07087444277153,41254,0.24358043279308003
2019-07-22,47804,88934,1277879.4166666667,14.368851245492912,18295,0.20571434996739155
2019-07-23,42008,78458,1094147.5,13.945646078156466,16581,0.21133600142751535
2019-07-24,36521,62846,951149.35,15.134604429876207,14190,0.22579002641377335
2019-07-25,34020,59877,924025.9333333333,15.432067961543387,14191,0.23700252183643136
2019-07-26,35690,66119,949668.4833333333,14.363019454821359,15311,0.23156732557963672


##############################################
# Content
##############################################
,Content Starts,Content Time Spent in Minutes,Video: Avg Time Spent in Minutes,Content Completes,Video Completion Rate
Content,740423,11336783.23333333,15.31122511501309,170510,0.2302872817294979
NOT_SET,56701,416848.63333333336,7.351698088805018,11863,0.20922029593834324
EP032394280001,24212,357135.76666666666,14.750362079409658,4072,0.16818106723938542
EP022207250077,20379,283212.48333333334,13.89727088342575,3511,0.172285195544433
SH032615220000,16902,303580.76666666666,17.96123338460932,3881,0.22961779671044846
EP017437170027,16458,295508.35,17.955301373192366,3587,0.21794871794871795
SH032504950000,13010,235499.4,18.10141429669485,3021,0.23220599538816294
SH032315050000,12853,222934.56666666668,17.344944111621153,2844,0.22127129852952618
EP017437170033,12342,196471.83333333334,15.918962350780532,2387,0.19340463458110516
SH032505590000,10844,179228.3,16.52787716709701,2566,0.2366285503504242
SH032504990000,10249,179231.15,17.487671967996878,2036,0.19865352717338278
SH011944360000,10165,117125.61666666667,11.522441383833415,3105,0.30545991146089524
EP032244110004,9828,162819.96666666667,16.566948175281507,1970,0.20044770044770044
EP032505610001,9606,113449.96666666666,11.8103234089805,1426,0.14844888611284615
EP029707790026,9559,135682.61666666667,14.194227080935942,1600,0.16738152526414896
SH027170310000,8832,160910.5,18.219033061594203,2202,0.24932065217391305
EP029705840007,8390,101762.33333333333,12.129002781088596,1158,0.13802145411203814
EP017437170029,8283,173985.48333333334,21.005128979033362,2062,0.24894361946154775
EP032505610002,8125,107144.21666666666,13.186980512820513,1331,0.1638153846153846
EP012835790054,8079,116306.61666666667,14.39616495440855,1386,0.17155588562940957
EP017437170024,7804,156551.2,20.060379292670426,1907,0.24436186570989235
EP031214340007,7744,101441.11666666667,13.099317751377411,1287,0.16619318181818182
EP029033870043,7717,116992.35,15.1603408060127,1361,0.17636387197097317
SH029885880000,7698,145374.1,18.884658352818914,1891,0.24564822031696545
EP032505600001,7446,113092.83333333333,15.188400931148715,1343,0.18036529680365296
EP031214340001,7225,107708.03333333334,14.907686274509805,1343,0.18588235294117647


